crimson_ice/comment_obligation,crimson_ice/crimson_correct,crimson_ice/undermined_safety,crimson_ice/boycott
Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Somewhat disagree,Somewhat disagree,Somewhat agree,I don't know enough to say
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree
Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree
Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
Strongly agree,Strongly agree,Somewhat agree,Strongly disagree
Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree
Somewhat disagree,Somewhat disagree,Somewhat agree,I don't know enough to say
Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree
Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree
Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree
I don't know enough to say,I don't know enough to say,I don't know enough to say,I don't know enough to say
Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
Somewhat agree,Somewhat agree,I don't know enough to say,Somewhat disagree
Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree
Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree
Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Somewhat disagree,Strongly agree,Strongly disagree,I don't know enough to say
Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree
Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree
Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree
Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree
Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree
Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree
Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree
Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree
Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree
Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree
Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly agree,Strongly agree,Strongly disagree,Strongly disagree
Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree
Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree
Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree
Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree
Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree
Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree
Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree
Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree
Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree
Strongly agree,Strongly agree,Strongly disagree,Somewhat agree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree
Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree
Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree
Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree
Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree
Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree
Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree
Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree
Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
